Date,Open,High,Low,Last,Volume,Open Interest
2014-05-15,,757.0,757.0,757.0,0.0,0.0
2014-05-14,,778.0,778.0,778.0,0.0,0.0
2014-05-13,,794.0,794.0,794.0,0.0,0.0
2014-05-12,,794.0,794.0,794.0,0.0,0.0
2014-05-09,,797.0,797.0,797.0,0.0,0.0
2014-05-08,,808.0,808.0,808.0,0.0,0.0
2014-05-07,,807.0,807.0,807.0,0.0,0.0
2014-05-06,,807.0,807.0,807.0,0.0,0.0
2014-05-05,,793.0,793.0,793.0,0.0,0.0
2014-05-02,,784.0,784.0,784.0,0.0,0.0
2014-05-01,,769.0,769.0,769.0,0.0,0.0
2014-04-30,,776.0,767.0,776.0,0.0,0.0
2014-04-29,,762.0,762.0,762.0,0.0,0.0
2014-04-28,,750.0,750.0,750.0,0.0,0.0
2014-04-25,,743.0,743.0,743.0,0.0,0.0
2014-04-24,,730.0,730.0,730.0,0.0,0.0
2014-04-23,,718.0,718.0,718.0,0.0,0.0
2014-04-22,,715.0,715.0,715.0,0.0,0.0
2014-04-21,,710.0,710.0,710.0,0.0,0.0
2014-04-17,,727.0,727.0,727.0,0.0,0.0
2014-04-16,,724.0,724.0,724.0,0.0,0.0
2014-04-15,,729.0,729.0,729.0,0.0,0.0
2014-04-14,,709.0,709.0,709.0,0.0,0.0
2014-04-11,,697.0,697.0,697.0,0.0,0.0
2014-04-10,,700.0,700.0,700.0,0.0,0.0
2014-04-09,,711.0,711.0,711.0,0.0,0.0
2014-04-08,,721.0,721.0,721.0,0.0,0.0
2014-04-07,,721.0,721.0,721.0,0.0,0.0
2014-04-04,,715.0,715.0,715.0,0.0,0.0
2014-04-03,,723.0,723.0,723.0,0.0,0.0
2014-04-02,,720.0,720.0,720.0,0.0,0.0
2014-04-01,,733.0,733.0,733.0,0.0,0.0
2014-03-31,,748.0,748.0,748.0,0.0,0.0
2014-03-28,,743.0,743.0,743.0,0.0,0.0
2014-03-27,,760.0,760.0,760.0,0.0,0.0
2014-03-26,,751.0,751.0,751.0,0.0,0.0
2014-03-25,,766.0,766.0,766.0,0.0,0.0
2014-03-24,,766.0,766.0,766.0,0.0,0.0
2014-03-21,,750.0,750.0,750.0,0.0,0.0
2014-03-20,,759.0,759.0,759.0,0.0,0.0
2014-03-19,,760.0,760.0,760.0,0.0,0.0
2014-03-18,,737.0,737.0,737.0,0.0,0.0
2014-03-17,,720.0,720.0,720.0,0.0,0.0
2014-03-14,,725.0,725.0,725.0,0.0,0.0
2014-03-13,,714.0,714.0,714.0,0.0,0.0
2014-03-12,,721.0,721.0,721.0,0.0,0.0
2014-03-11,,705.0,705.0,705.0,0.0,0.0
2014-03-10,,693.0,693.0,693.0,0.0,0.0
2014-03-07,,702.0,702.0,702.0,0.0,0.0
2014-03-06,,694.0,694.0,694.0,0.0,0.0
2014-03-05,,691.0,691.0,691.0,0.0,0.0
2014-03-04,,691.0,691.0,691.0,0.0,0.0
2014-03-03,,683.0,683.0,683.0,0.0,0.0
2014-02-28,,665.0,665.0,665.0,0.0,0.0
2014-02-27,,656.0,656.0,656.0,0.0,0.0
2014-02-26,,668.0,668.0,668.0,0.0,0.0
2014-02-25,,674.0,674.0,674.0,0.0,0.0
2014-02-24,,670.0,670.0,670.0,0.0,0.0
2014-02-21,,665.0,665.0,665.0,0.0,0.0
2014-02-20,,671.0,671.0,671.0,0.0,0.0
2014-02-19,,671.0,671.0,671.0,0.0,0.0
2014-02-18,,665.0,665.0,665.0,0.0,0.0
2014-02-14,,656.0,656.0,656.0,0.0,0.0
2014-02-13,,655.0,655.0,655.0,0.0,0.0
2014-02-12,,648.0,648.0,648.0,0.0,0.0
2014-02-11,,649.0,649.0,649.0,0.0,0.0
2014-02-10,,644.0,644.0,644.0,0.0,0.0
2014-02-07,,635.0,635.0,635.0,0.0,0.0
2014-02-06,,635.0,635.0,635.0,0.0,0.0
2014-02-05,,636.0,636.0,636.0,0.0,0.0
2014-02-04,,633.0,633.0,633.0,0.0,0.0
2014-02-03,,616.0,616.0,616.0,0.0,0.0
2014-01-31,,610.0,610.0,610.0,0.0,0.0
2014-01-30,,603.0,603.0,603.0,0.0,0.0
2014-01-29,,603.0,603.0,603.0,0.0,0.0
2014-01-28,,613.0,613.0,613.0,0.0,0.0
2014-01-27,,613.0,613.0,613.0,0.0,0.0
2014-01-24,,616.0,616.0,616.0,0.0,0.0
2014-01-23,,619.0,619.0,619.0,0.0,0.0
2014-01-22,,613.0,613.0,613.0,0.0,0.0
2014-01-21,,611.0,611.0,611.0,0.0,0.0
2014-01-17,,612.0,612.0,612.0,0.0,0.0
